,name,artist,album,genre,release_date,length,acousticness,danceability,instrumentalness,loudness,liveness,tempo,energy,speechiness,valence,time_signature,popularity,popularity_2
135,You Da One,Rihanna,,barbadian pop,2012,200,,70,,-5,13,127,72,4,86,,57,
136,Stereo Hearts (feat. Adam Levine),Gym Class Heroes,"{'album_type': 'single', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/6LYGxFCmlJvAG6loQiNeox'}, 'href': 'https://api.spotify.com/v1/artists/6LYGxFCmlJvAG6loQiNeox', 'id': '6LYGxFCmlJvAG6loQiNeox', 'name': 'Cover Pop', 'type': 'artist', 'uri': 'spotify:artist:6LYGxFCmlJvAG6loQiNeox'}], 'available_markets': ['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'ZA'], 'external_urls': {'spotify': 'https://open.spotify.com/album/4eor8FmvPPi3WyL5EheCeL'}, 'href': 'https://api.spotify.com/v1/albums/4eor8FmvPPi3WyL5EheCeL', 'id': '4eor8FmvPPi3WyL5EheCeL', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2739351622a08075b4c30502345', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e029351622a08075b4c30502345', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048519351622a08075b4c30502345', 'width': 64}], 'name': 'Stereo Hearts (Tribute to Gym Class Heroes feat. Adam Levine)', 'release_date': '2012-01-13', 'release_date_precision': 'day', 'total_tracks': 1, 'type': 'album', 'uri': 'spotify:album:4eor8FmvPPi3WyL5EheCeL'}",dance pop,2012,211,0.0247,65,0,-3,27,90,80,10,80,4,54,24
137,It Will Rain,Bruno Mars,,pop,2012,258,,58,,-7,8,150,84,5,48,,38,
138,Blow Me (One Last Kiss),P!nk,"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of'}, 'href': 'https://api.spotify.com/v1/artists/0LyfQWJT6nXafLPZqxe9Of', 'id': '0LyfQWJT6nXafLPZqxe9Of', 'name': 'Various Artists', 'type': 'artist', 'uri': 'spotify:artist:0LyfQWJT6nXafLPZqxe9Of'}], 'available_markets': ['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA'], 'external_urls': {'spotify': 'https://open.spotify.com/album/0thwQoFvXCIK28W54u3VtQ'}, 'href': 'https://api.spotify.com/v1/albums/0thwQoFvXCIK28W54u3VtQ', 'id': '0thwQoFvXCIK28W54u3VtQ', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273f1aba1e13bcf4763e9db4516', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02f1aba1e13bcf4763e9db4516', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851f1aba1e13bcf4763e9db4516', 'width': 64}], 'name': ""Dancing Fitness (Let's Dance and Sing)"", 'release_date': '2013-07-16', 'release_date_precision': 'day', 'total_tracks': 40, 'type': 'album', 'uri': 'spotify:album:0thwQoFvXCIK28W54u3VtQ'}",dance pop,2012,256,2.66e-05,60,0.922,-3,25,114,92,4,75,4,0,0
139,Underneath the Tree,Kelly Clarkson,,dance pop,2013,230,,51,,-5,21,160,81,5,69,,88,
140,Wake Me Up,Avicii,"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/1vCWHaC5f2uS3yhpwWbIA6'}, 'href': 'https://api.spotify.com/v1/artists/1vCWHaC5f2uS3yhpwWbIA6', 'id': '1vCWHaC5f2uS3yhpwWbIA6', 'name': 'Avicii', 'type': 'artist', 'uri': 'spotify:artist:1vCWHaC5f2uS3yhpwWbIA6'}], 'available_markets': ['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA'], 'external_urls': {'spotify': 'https://open.spotify.com/album/0ignCov9foaLxuqND5GMtl'}, 'href': 'https://api.spotify.com/v1/albums/0ignCov9foaLxuqND5GMtl', 'id': '0ignCov9foaLxuqND5GMtl', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273182fe5b5d3e3c3fcc895a3c8', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02182fe5b5d3e3c3fcc895a3c8', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851182fe5b5d3e3c3fcc895a3c8', 'width': 64}], 'name': 'True: Avicii By Avicii', 'release_date': '2014-01-01', 'release_date_precision': 'day', 'total_tracks': 9, 'type': 'album', 'uri': 'spotify:album:0ignCov9foaLxuqND5GMtl'}",big room,2013,247,0.00275,53,0.193,-6,16,124,78,5,64,4,85,85
141,Story of My Life,One Direction,,boy band,2013,245,,60,,-6,12,121,66,5,29,,81,
142,Just Give Me a Reason (feat. Nate Ruess),P!nk,"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/6LYGxFCmlJvAG6loQiNeox'}, 'href': 'https://api.spotify.com/v1/artists/6LYGxFCmlJvAG6loQiNeox', 'id': '6LYGxFCmlJvAG6loQiNeox', 'name': 'Cover Pop', 'type': 'artist', 'uri': 'spotify:artist:6LYGxFCmlJvAG6loQiNeox'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/2zQAPo0gPmt7OwfKGQGsfW'}, 'href': 'https://api.spotify.com/v1/artists/2zQAPo0gPmt7OwfKGQGsfW', 'id': '2zQAPo0gPmt7OwfKGQGsfW', 'name': 'Relajacion Del Mar', 'type': 'artist', 'uri': 'spotify:artist:2zQAPo0gPmt7OwfKGQGsfW'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/3ovc8SVGIsiZfECkv3WJU2'}, 'href': 'https://api.spotify.com/v1/artists/3ovc8SVGIsiZfECkv3WJU2', 'id': '3ovc8SVGIsiZfECkv3WJU2', 'name': 'Afternoon Acoustic', 'type': 'artist', 'uri': 'spotify:artist:3ovc8SVGIsiZfECkv3WJU2'}], 'available_markets': ['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA'], 'external_urls': {'spotify': 'https://open.spotify.com/album/19ZxfKkhl0yeLAg3Q49GPx'}, 'href': 'https://api.spotify.com/v1/albums/19ZxfKkhl0yeLAg3Q49GPx', 'id': '19ZxfKkhl0yeLAg3Q49GPx', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2739467a07ba69aacc48ce62084', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e029467a07ba69aacc48ce62084', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048519467a07ba69aacc48ce62084', 'width': 64}], 'name': ""The Chill Out Music Initiative, Vol. 1 (Today's Hits In a Chill Out Style)"", 'release_date': '2017-02-11', 'release_date_precision': 'day', 'total_tracks': 15, 'type': 'album', 'uri': 'spotify:album:19ZxfKkhl0yeLAg3Q49GPx'}",dance pop,2013,243,0.982,78,0.854,-7,13,95,55,5,44,4,81,24
143,Hall of Fame,The Script,"{'album_type': 'compilation', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of'}, 'href': 'https://api.spotify.com/v1/artists/0LyfQWJT6nXafLPZqxe9Of', 'id': '0LyfQWJT6nXafLPZqxe9Of', 'name': 'Various Artists', 'type': 'artist', 'uri': 'spotify:artist:0LyfQWJT6nXafLPZqxe9Of'}], 'available_markets': ['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA'], 'external_urls': {'spotify': 'https://open.spotify.com/album/0LplRIGNE4ds9AmJ6w0qXa'}, 'href': 'https://api.spotify.com/v1/albums/0LplRIGNE4ds9AmJ6w0qXa', 'id': '0LplRIGNE4ds9AmJ6w0qXa', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273369c5ebfe2b60892107b0265', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02369c5ebfe2b60892107b0265', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851369c5ebfe2b60892107b0265', 'width': 64}], 'name': ""Mother's Day Songs"", 'release_date': '2018-03-02', 'release_date_precision': 'day', 'total_tracks': 31, 'type': 'album', 'uri': 'spotify:album:0LplRIGNE4ds9AmJ6w0qXa'}",celtic rock,2013,203,0.0685,42,0,-4,12,85,87,6,63,4,80,0
144,Roar,Katy Perry,,dance pop,2013,224,,55,,-5,35,180,77,4,46,,78,
145,We Can't Stop,Miley Cyrus,,dance pop,2013,231,,61,,-6,37,80,62,3,48,,78,
146,Don't You Worry Child - Radio Edit,Swedish House Mafia,,big room,2013,213,,61,,-3,12,129,84,5,44,,78,
147,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,,electro,2013,248,,79,,-9,10,116,81,4,86,,77,
148,Wrecking Ball,Miley Cyrus,,dance pop,2013,221,,53,,-6,11,120,42,3,35,,77,
149,Impossible,James Arthur,,pop,2013,209,,38,,-5,11,170,70,9,30,,77,
150,Blurred Lines,Robin Thicke,,dance pop,2013,264,,85,,-5,8,120,60,4,84,,76,
151,Heart Attack,Demi Lovato,,dance pop,2013,211,,50,,-5,24,174,79,10,50,,76,
152,We Are Never Ever Getting Back Together,Taylor Swift,,pop,2013,193,,63,,-6,12,86,68,9,75,,75,
153,Die Young,Kesha,,dance pop,2013,212,,71,,-5,22,128,70,5,80,,75,
154,Clarity,Zedd,"{'album_type': 'single', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/2qxJFvFYMEDqd7ui6kSAcq'}, 'href': 'https://api.spotify.com/v1/artists/2qxJFvFYMEDqd7ui6kSAcq', 'id': '2qxJFvFYMEDqd7ui6kSAcq', 'name': 'Zedd', 'type': 'artist', 'uri': 'spotify:artist:2qxJFvFYMEDqd7ui6kSAcq'}], 'available_markets': ['AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LT', 'LU', 'LV', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA'], 'external_urls': {'spotify': 'https://open.spotify.com/album/2BgayRsdVhn6knKI5cgUFS'}, 'href': 'https://api.spotify.com/v1/albums/2BgayRsdVhn6knKI5cgUFS', 'id': '2BgayRsdVhn6knKI5cgUFS', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273504b1991873155d7a59ed320', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02504b1991873155d7a59ed320', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851504b1991873155d7a59ed320', 'width': 64}], 'name': 'Clarity (Remixes)', 'release_date': '2013-01-01', 'release_date_precision': 'day', 'total_tracks': 4, 'type': 'album', 'uri': 'spotify:album:2BgayRsdVhn6knKI5cgUFS'}",complextro,2013,271,0.615,51,0,-3,7,128,78,7,18,4,75,82
155,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,,art pop,2013,215,,57,,-6,13,126,81,6,11,,74,
156,Under Control,Calvin Harris,,dance pop,2013,184,,54,,-3,12,126,92,8,51,,74,
157,Everybody Talks,Neon Trees,,indie pop,2013,177,,47,,-4,31,155,92,6,73,,74,
158,"Hold On, We're Going Home",Drake,,canadian hip hop,2013,228,,77,,-7,7,100,41,10,29,,73,
159,Best Song Ever,One Direction,"{'album_type': 'single', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/4AK6F7OLvEQ5QYCBNiQWHq'}, 'href': 'https://api.spotify.com/v1/artists/4AK6F7OLvEQ5QYCBNiQWHq', 'id': '4AK6F7OLvEQ5QYCBNiQWHq', 'name': 'One Direction', 'type': 'artist', 'uri': 'spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq'}], 'available_markets': ['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA'], 'external_urls': {'spotify': 'https://open.spotify.com/album/2rRZQhPP68jHhLF9V7yiJJ'}, 'href': 'https://api.spotify.com/v1/albums/2rRZQhPP68jHhLF9V7yiJJ', 'id': '2rRZQhPP68jHhLF9V7yiJJ', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2734ff9fd68ec4b1eee78be04a2', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e024ff9fd68ec4b1eee78be04a2', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048514ff9fd68ec4b1eee78be04a2', 'width': 64}], 'name': 'Remixes - EP', 'release_date': '2010-11-29', 'release_date_precision': 'day', 'total_tracks': 14, 'type': 'album', 'uri': 'spotify:album:2rRZQhPP68jHhLF9V7yiJJ'}",boy band,2013,200,0.0345,65,0,-3,8,118,88,5,49,4,73,91
160,Kiss You,One Direction,,boy band,2013,183,,63,,-3,32,90,93,6,91,,73,
161,Sweet Nothing (feat. Florence Welch),Calvin Harris,"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/5D13RHlJ2Le5Iytcl2xzE9'}, 'href': 'https://api.spotify.com/v1/artists/5D13RHlJ2Le5Iytcl2xzE9', 'id': '5D13RHlJ2Le5Iytcl2xzE9', 'name': 'Pop Music Workshop', 'type': 'artist', 'uri': 'spotify:artist:5D13RHlJ2Le5Iytcl2xzE9'}], 'available_markets': ['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA'], 'external_urls': {'spotify': 'https://open.spotify.com/album/0VatmKyLKq9FcfN9jYgFtA'}, 'href': 'https://api.spotify.com/v1/albums/0VatmKyLKq9FcfN9jYgFtA', 'id': '0VatmKyLKq9FcfN9jYgFtA', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273cead9d41fd0543b011324f46', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02cead9d41fd0543b011324f46', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851cead9d41fd0543b011324f46', 'width': 64}], 'name': 'Pro Backing Tracks C, Vol. 2', 'release_date': '2016-11-07', 'release_date_precision': 'day', 'total_tracks': 30, 'type': 'album', 'uri': 'spotify:album:0VatmKyLKq9FcfN9jYgFtA'}",dance pop,2013,213,0.00468,57,0.619,-4,6,128,93,11,58,4,72,24
162,Lose Yourself to Dance,Daft Punk,"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi'}, 'href': 'https://api.spotify.com/v1/artists/4tZwfgrHOc3mvqYlEYSvVi', 'id': '4tZwfgrHOc3mvqYlEYSvVi', 'name': 'Daft Punk', 'type': 'artist', 'uri': 'spotify:artist:4tZwfgrHOc3mvqYlEYSvVi'}], 'available_markets': ['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA'], 'external_urls': {'spotify': 'https://open.spotify.com/album/4m2880jivSbbyEGAKfITCa'}, 'href': 'https://api.spotify.com/v1/albums/4m2880jivSbbyEGAKfITCa', 'id': '4m2880jivSbbyEGAKfITCa', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2731d97ca7376f835055f828139', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e021d97ca7376f835055f828139', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048511d97ca7376f835055f828139', 'width': 64}], 'name': 'Random Access Memories', 'release_date': '2013-05-17', 'release_date_precision': 'day', 'total_tracks': 13, 'type': 'album', 'uri': 'spotify:album:4m2880jivSbbyEGAKfITCa'}",electro,2013,354,0.0839,83,0.00114,-8,8,100,66,6,67,4,72,82
163,Work Bitch,Britney Spears,,dance pop,2013,248,,63,,-7,7,128,82,16,85,,71,
164,Brave,Sara Bareilles,,acoustic pop,2013,221,,55,,-4,4,185,84,5,76,,71,
165,Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/5UloVKzUNJcjORzhhTWWiJ'}, 'href': 'https://api.spotify.com/v1/artists/5UloVKzUNJcjORzhhTWWiJ', 'id': '5UloVKzUNJcjORzhhTWWiJ', 'name': 'The Karaoke Channel', 'type': 'artist', 'uri': 'spotify:artist:5UloVKzUNJcjORzhhTWWiJ'}], 'available_markets': ['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA'], 'external_urls': {'spotify': 'https://open.spotify.com/album/6ljUzlprDDvFz1uzcOwF3Q'}, 'href': 'https://api.spotify.com/v1/albums/6ljUzlprDDvFz1uzcOwF3Q', 'id': '6ljUzlprDDvFz1uzcOwF3Q', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2733f2d73fa6cdfb6e4459fd714', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e023f2d73fa6cdfb6e4459fd714', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048513f2d73fa6cdfb6e4459fd714', 'width': 64}], 'name': 'The Karaoke Channel - Sing Top Hits of 2013', 'release_date': '2014-05-25', 'release_date_precision': 'day', 'total_tracks': 14, 'type': 'album', 'uri': 'spotify:album:6ljUzlprDDvFz1uzcOwF3Q'}",dance pop,2013,258,0.00193,63,0.31,-4,10,146,93,8,88,4,70,38
